date;value
15.06.2022;20245.26
14.06.2022;21912.07
13.06.2022;23426.06
12.06.2022;27422.44
11.06.2022;28494.96
10.06.2022;29171.12
09.06.2022;30121.28
08.06.2022;30222.22
07.06.2022;31338.31
06.06.2022;31373.97
05.06.2022;29993.37
04.06.2022;29721.45
03.06.2022;29653.52
02.06.2022;30286.22
01.06.2022;29585.11
31.05.2022;31690.76
30.05.2022;31195.35
29.05.2022;29142.98
28.05.2022;28988.19
27.05.2022;28835.51
26.05.2022;29494.72
25.05.2022;29707.39
24.05.2022;29391.05
23.05.2022;29401.46
22.05.2022;30007.67
21.05.2022;29390.11
20.05.2022;29159.48
19.05.2022;30124.93
18.05.2022;29128.39
17.05.2022;30179.22
16.05.2022;29785.55
15.05.2022;30920.84
14.05.2022;29361.83
13.05.2022;29871.72
12.05.2022;28765.63
11.05.2022;29165.87
10.05.2022;31113.83
09.05.2022;30918.35
08.05.2022;34357.72
07.05.2022;35771.41
06.05.2022;36038.00
05.05.2022;36314.56
04.05.2022;39825.60
03.05.2022;37622.31
02.05.2022;38386.61
01.05.2022;37939.74
30.04.2022;38355.19
29.04.2022;38555.20
28.04.2022;39974.36
27.04.2022;39150.38
26.04.2022;38089.13
25.04.2022;40159.63
24.04.2022;39523.60
23.04.2022;39804.56
22.04.2022;39536.44
21.04.2022;40835.93
20.04.2022;41333.40
19.04.2022;41254.47
18.04.2022;40720.88
17.04.2022;40354.36
16.04.2022;40241.01
15.04.2022;40387.85
14.04.2022;39840.40
13.04.2022;41187.76
12.04.2022;39512.08
11.04.2022;40031.32
10.04.2022;43290.31
09.04.2022;42522.77
08.04.2022;42788.70
07.04.2022;43584.96
06.04.2022;43908.07
05.04.2022;45706.38
04.04.2022;46283.58
03.04.2022;46452.03
02.04.2022;46278.25
01.04.2022;46194.81
31.03.2022;45762.39
30.03.2022;47129.93
29.03.2022;47560.40
28.03.2022;47919.62
27.03.2022;45953.65
26.03.2022;44619.87
25.03.2022;44477.92
24.03.2022;43913.04
23.03.2022;42356.83
22.03.2022;42448.12
21.03.2022;41207.11
20.03.2022;41471.22
19.03.2022;42253.58
18.03.2022;41889.92
17.03.2022;40722.37
16.03.2022;41276.12
15.03.2022;39481.43
14.03.2022;38869.23
13.03.2022;38718.23
12.03.2022;39179.20
11.03.2022;38548.06
10.03.2022;39477.90
09.03.2022;41915.50
08.03.2022;38540.09
07.03.2022;37613.78
06.03.2022;38875.79
05.03.2022;39555.90
04.03.2022;39482.25
03.03.2022;42013.19
02.03.2022;43768.44
01.03.2022;43940.54
28.02.2022;41742.97
27.02.2022;37977.11
26.02.2022;39364.51
25.02.2022;38914.51
24.02.2022;38209.00
23.02.2022;37655.01
22.02.2022;37880.40
21.02.2022;38327.56
20.02.2022;38362.96
19.02.2022;40076.94
18.02.2022;40114.91
17.02.2022;41084.34
16.02.2022;44182.90
15.02.2022;44102.79
14.02.2022;42247.24
13.02.2022;42323.69
12.02.2022;42679.30
